rank,building_id,composite_score,completeness_pct,site_id,building_type,selected_as_source
78,Rat_education_Pat,98.84,98.66,Rat,Education,False
79,Rat_education_Alfred,98.84,97.68,Rat,Education,False
80,Rat_education_Kandice,98.72,99.81,Rat,Education,False
81,Rat_education_Yu,98.68,96.42,Rat,Education,False
82,Rat_education_Francisca,98.49,97.24,Rat,Education,False
83,Rat_education_Vicky,98.17,96.07,Rat,Education,False
84,Rat_education_Elsie,97.91,99.65,Rat,Education,False
85,Rat_education_Conrad,97.61,94.76,Rat,Education,False
86,Rat_education_Tristan,96.2,89.18,Rat,Education,False
87,Rat_education_Barbara,93.37,93.05,Rat,Education,False
88,Rat_education_Gricelda,92.74,76.32,Rat,Education,False
89,Rat_education_Dianne,90.43,69.52,Rat,Education,False
90,Rat_education_Cinthia,88.68,68.46,Rat,Education,False
91,Rat_education_Matt,86.29,54.99,Rat,Education,False
92,Rat_education_Willy,85.83,55.7,Rat,Education,False
93,Rat_education_Jeanne,85.56,52.24,Rat,Education,False
94,Rat_education_Alyson,85.54,55.53,Rat,Education,False
95,Rat_education_Susana,84.85,56.46,Rat,Education,False
96,Rat_education_Eleonora,83.81,46.63,Rat,Education,False
97,Rat_education_Donnell,83.58,52.53,Rat,Education,False
98,Rat_education_Mavis,82.86,46.76,Rat,Education,False
99,Rat_education_Romana,82.53,44.86,Rat,Education,False
100,Rat_education_Edmund,81.99,43.01,Rat,Education,False
101,Bear_education_Katy,79.82,99.97,Bear,Education,False
102,Rat_assembly_Mirta,79.82,99.82,Rat,Entertainment/public assembly,False
103,Fox_education_Leona,79.8,99.98,Fox,Education,False
104,Hog_education_Jewel,79.79,100.0,Hog,Education,False
105,Fox_education_Miguelina,79.78,99.91,Fox,Education,False
106,Rat_office_Loyd,79.78,99.84,Rat,Office,False
107,Fox_education_Dewayne,79.78,99.91,Fox,Education,False
108,Hog_education_Wayne,79.77,99.95,Hog,Education,False
109,Rat_education_Penny,79.77,36.25,Rat,Education,False
110,Fox_education_Leota,79.77,99.95,Fox,Education,False
111,Wolf_education_Loren,79.76,99.98,Wolf,Education,False
112,Rat_office_Rosemary,79.76,99.7,Rat,Office,False
113,Bear_education_Shelley,79.76,99.99,Bear,Education,False
114,Wolf_education_Ursula,79.75,99.99,Wolf,Education,False
115,Hog_education_Robert,79.75,99.98,Hog,Education,False
116,Rat_office_Ronald,79.75,99.81,Rat,Office,False
117,Wolf_education_Tammie,79.75,99.98,Wolf,Education,False
118,Rat_office_Randy,79.75,99.57,Rat,Office,False
119,Wolf_education_Dorris,79.75,99.99,Wolf,Education,False
120,Peacock_education_Patience,79.75,99.94,Peacock,Education,False
121,Fox_education_Nilda,79.75,99.98,Fox,Education,False
122,Rat_public_Sharonda,79.75,99.83,Rat,Public services,False
123,Wolf_education_Tori,79.75,99.98,Wolf,Education,False
124,Bear_education_Thuy,79.74,99.99,Bear,Education,False
125,Wolf_education_Miguel,79.74,99.95,Wolf,Education,False
126,Peacock_education_Yolanda,79.74,99.98,Peacock,Education,False
127,Rat_warehouse_Eloisa,79.74,99.84,Rat,Warehouse/storage,False
128,Rat_assembly_Kimberley,79.73,99.83,Rat,Entertainment/public assembly,False
129,Bear_education_Herman,79.73,99.78,Bear,Education,False
130,Wolf_education_Katie,79.73,99.99,Wolf,Education,False
131,Rat_public_Sue,79.73,99.69,Rat,Public services,False
132,Fox_education_Tamika,79.72,99.95,Fox,Education,False
133,Bear_education_Marsha,79.72,99.75,Bear,Education,False
134,Moose_education_Clark,79.71,99.81,Moose,Education,False
135,Wolf_education_Cheryl,79.71,99.99,Wolf,Education,False
136,Wolf_education_Clarissa,79.71,99.98,Wolf,Education,False
137,Robin_education_Leslie,79.71,100.0,Robin,Education,False
138,Fox_education_Heriberto,79.71,99.98,Fox,Education,False
139,Robin_education_Terrance,79.71,100.0,Robin,Education,False
140,Bear_education_Wm,79.71,99.97,Bear,Education,False
141,Robin_education_Kristopher,79.71,100.0,Robin,Education,False
142,Rat_health_Gaye,79.71,99.57,Rat,Healthcare,False
143,Bear_education_Paola,79.71,99.99,Bear,Education,False
144,Hog_education_Madge,79.7,100.0,Hog,Education,False
145,Hog_education_Sonia,79.7,99.93,Hog,Education,False
146,Fox_education_Dominique,79.7,99.93,Fox,Education,False
147,Bear_education_Chun,79.7,99.58,Bear,Education,False
148,Fox_education_Carleen,79.7,99.93,Fox,Education,False
149,Robin_education_Derick,79.7,100.0,Robin,Education,False
150,Bear_education_Lila,79.7,99.99,Bear,Education,False
151,Rat_warehouse_Doretta,79.7,99.85,Rat,Warehouse/storage,False
152,Robin_education_Mercedes,79.7,100.0,Robin,Education,False
153,Robin_education_Zenia,79.7,100.0,Robin,Education,False
154,Robin_education_Julius,79.69,100.0,Robin,Education,False
155,Fox_education_Long,79.69,99.98,Fox,Education,False
156,Moose_education_Marina,79.69,99.81,Moose,Education,False
157,Bear_education_Maryjane,79.69,99.96,Bear,Education,False
158,Robin_education_Margarito,79.69,100.0,Robin,Education,False
159,Robin_education_Lizbeth,79.68,100.0,Robin,Education,False
160,Fox_education_Elvira,79.68,99.87,Fox,Education,False
161,Rat_public_Wilma,79.68,99.7,Rat,Public services,False
162,Rat_public_Joann,79.68,99.84,Rat,Public services,False
163,Peacock_education_Robbie,79.68,99.98,Peacock,Education,False
164,Peacock_education_Lyle,79.68,99.94,Peacock,Education,False
165,Bear_education_Bob,79.68,99.99,Bear,Education,False
166,Rat_religion_Kathy,79.68,99.68,Rat,Religious worship,False
167,Robin_education_Megan,79.67,100.0,Robin,Education,False
168,Fox_education_Ashli,79.67,99.98,Fox,Education,False
169,Wolf_education_Laurinda,79.67,99.99,Wolf,Education,False
170,Hog_education_Rachael,79.67,100.0,Hog,Education,False
171,Robin_education_Derrick,79.67,100.0,Robin,Education,False
172,Hog_education_Leandro,79.67,99.74,Hog,Education,False
173,Robin_education_Cecilia,79.67,100.0,Robin,Education,False
174,Rat_office_Lora,79.66,99.84,Rat,Office,False
175,Rat_office_Sammy,79.66,99.82,Rat,Office,False
176,Rat_public_Amber,79.66,99.7,Rat,Public services,False
177,Peacock_education_Dustin,79.66,99.76,Peacock,Education,False
178,Wolf_education_Vivian,79.66,99.98,Wolf,Education,False
179,Hog_education_Janell,79.66,99.91,Hog,Education,False
180,Rat_office_Kasey,79.66,99.57,Rat,Office,False
181,Moose_education_Abbie,79.66,99.81,Moose,Education,False
182,Robin_education_Jasper,79.66,100.0,Robin,Education,False
183,Fox_education_Elois,79.65,99.95,Fox,Education,False
184,Robin_education_Kiera,79.65,100.0,Robin,Education,False
185,Rat_retail_Jeffrey,79.65,99.85,Rat,Retail,False
186,Robin_education_Takako,79.65,100.0,Robin,Education,False
187,Hog_education_Bruno,79.65,99.99,Hog,Education,False
188,Rat_public_Isabel,79.65,99.7,Rat,Public services,False
189,Rat_office_Arron,79.65,99.61,Rat,Office,False
190,Bear_education_Chad,79.65,99.86,Bear,Education,False
191,Rat_office_Colby,79.64,99.98,Rat,Office,False
192,Bear_education_Danna,79.64,99.98,Bear,Education,False
193,Bear_education_Iris,79.64,99.99,Bear,Education,False
194,Bear_education_Sharon,79.63,99.97,Bear,Education,False
195,Bear_education_Yvette,79.63,99.74,Bear,Education,False
196,Hog_education_George,79.63,99.77,Hog,Education,False
197,Fox_education_Virgil,79.63,99.97,Fox,Education,False
198,Fox_education_Yolande,79.63,99.99,Fox,Education,False
199,Bear_education_Lewis,79.63,99.78,Bear,Education,False
200,Hog_education_Roberto,79.62,99.99,Hog,Education,False
201,Rat_public_Michael,79.62,99.43,Rat,Public services,False
202,Robin_education_Madeline,79.62,100.0,Robin,Education,False
203,Hog_education_Jordan,79.62,100.0,Hog,Education,False
204,Robin_education_So,79.62,100.0,Robin,Education,False
205,Fox_education_Claire,79.61,99.99,Fox,Education,False
206,Rat_public_Lloyd,79.61,99.57,Rat,Public services,False
207,Fox_education_Etta,79.6,99.89,Fox,Education,False
208,Fox_education_Andre,79.6,99.99,Fox,Education,False
209,Bear_education_Val,79.6,99.95,Bear,Education,False
210,Rat_public_Kimber,79.6,99.98,Rat,Public services,False
211,Fox_education_Kim,79.6,99.97,Fox,Education,False
212,Robin_education_Audrea,79.6,100.0,Robin,Education,False
213,Moose_education_Gladys,79.6,99.48,Moose,Education,False
214,Moose_education_Ricardo,79.6,100.0,Moose,Education,False
215,Wolf_education_Dolores,79.59,99.94,Wolf,Education,False
216,Bear_education_Gavin,79.59,99.94,Bear,Education,False
217,Bear_education_Herb,79.59,99.77,Bear,Education,False
